animalId,animalName,animalType,animalGender,animalBreed,animalColor,address,isDead
A513771,,Dog,,Golden Retriever,Black / White,22000 238TH PL SE,TRUE
A513743,,Dog,Male,Samoyed,White,22400 8TH AVE S,
A516014,Evee,Dog,Female,English Springer Spaniel,Unknown,700 WOODLAND WAY,
A514724,Lily,Cat,Female,Domestic Shorthair,Unknown,20800 31ST LN S. #A SEA TAC,
A514712,Oscar,Cat,Male,Domestic Mediumhair,Unknown,178TH AVE NE AND NE 8TH PL,
A514516,Bernard,Cat,Male,Turkish Van,Unknown,35500 28TH AVE S,
A515486,Emmett,Cat,Male,Domestic Mediumhair,Unknown,47500 288TH AVE SE,
A515182,,Dog,Female,Shiba Inu,Unknown,34400 214TH AVE SE,
A513768,Jackson/Jax,Cat,Male,Russian Blue,Unknown,228TH ST SE,
A513744,Hernie,Cat,Male,American Shorthair,Unknown,21300 82ND AVE SE,
A515140,Moxie,Dog,Female,Flat Coat Retriever,Unknown,3300 SW 332ND ST,
A513765,Loki,Dog,Male,Pit Bull,Unknown,SUPERMALL DRIVE AT MCDONALDS,
A515011,Pritten,Cat,Female,Domestic Shorthair,Unknown,NE 70TH STREET,
A515751,Shelly,Dog,Female,Miniature Pinscher,Unknown,1300 U ST NW,
A513896,Coco,Dog,Female,Pekingese,Unknown,11200 SE 260TH ST,
A516112,,Cat,Male,Domestic Mediumhair,White / Brown,12800 SE 282ND WAY,
A516217,Cooper,Dog,Male,Pug,Unknown,7700 NE 167TH ST,
A516107,,Cat,,American Wirehair,Unknown,,TRUE
A515931,,Dog,Male,Pug,Black,24800 128TH PL SE,
A513736,Charlie,Dog,Male,Labrador Retriever,Unknown,33000 37TH CT SW,
A513763,,Dog,Male,Labrador Retriever,Black,21200 142ND AVE SE,
A514736,Sky,Dog,Male,Pit Bull,Unknown,18400 42ND AVE S,
A516136,Corah,Cat,Female,Maine Coon,Unknown,,
A516117,Mako,Cat,Male,Ragdoll,Unknown,25TH AND SPOKANE ST IN BEACON HILL,
A515232,Sophie,Dog,Female,Shih Tzu,Unknown,PINE CREST CIRCLE,
A513067,,Dog,Female,German Shepherd,Black / Brown,26200 33RD AVE S,
A514744,,Cat,Female,Domestic Longhair,Brown / Unknown,16900 SE 138TH ST,
A515184,,Cat,Female,Maine Coon,Unknown,11600 BEACON AVE S,
A514743,Theo,Cat,Male,Domestic Shorthair,Unknown,93RD AVE NE,
A515141,,Dog,Male,Pomeranian,Brown / White,11020 SE KENT KANGLEY RD APT CC202,
A514710,Murphy,Dog,Male,Labrador Retriever,Unknown,9700 NE 124TH PL,
A513370,Balee,Cat,Female,Domestic Shorthair,Unknown,MAPLEWOOD HEIGHTS,
A516022,,Dog,Female,Labrador Retriever,White / Unknown,,
A515928,,Dog,Male,Miniature Poodle,Black / Black,,
A515251,,Dog,Female,Pomeranian,Black / White,22307 DOCK AVE - DES MOINES PIER PARK,
A513758,,Dog,Female,Golden Retriever,Unknown,ENATAI AREA / KILLARNEY CIRCLE  102ND PL,
A513425,,Dog,Female,Chihuahua - Long Haired,Black / Brown,800 W VALLEY HWY,
A515682,White Kitty,Cat,Female,American Shorthair,Unknown,SE 177TH PL,
A513802,Sophie,Cat,Female,Domestic Shorthair,Unknown,14862 100TH AVE SE,
A514910,Mel,Cat,Female,Persian,Unknown,10105 NE 134TH LN APT M103 KIRKLAND WA 9,
A514726,Boo,Cat,Male,Domestic Shorthair,Unknown,22400 NE MARKETPLACE DR,
A517104,Ozzie,Cat,Male,American Shorthair,Unknown,16028 SE 46 PL.,
A513096,Gromit,Dog,Male,German Shepherd,Unknown,WAX ROAD,
A514517,Robert,Cat,Male,Domestic Mediumhair,Unknown,WILDWOOD APARTMENT COMPLEX,
